user_id,age,income,loan_amount,loan_term,credit_score,employment_years,debt_ratio,num_credit_lines,num_late_payments,education,marital_status,loan_status
1001,35,85000,20000,36,720,8,0.32,5,0,本科,已婚,正常
1002,28,42000,15000,24,650,3,0.55,3,2,大专,未婚,逾期
1003,52,120000,50000,60,780,20,0.18,8,0,研究生,已婚,正常
1004,23,31000,8000,12,580,1,0.72,2,5,高中,未婚,逾期
1005,41,95000,30000,48,740,12,0.28,6,0,本科,已婚,正常
1006,31,58000,12000,24,690,6,0.41,4,1,本科,未婚,正常
1007,45,72000,25000,36,710,15,0.35,7,0,大专,已婚,正常
1008,26,38000,10000,12,620,2,0.61,2,3,高中,未婚,逾期
1009,38,88000,40000,48,750,10,0.25,6,0,本科,已婚,正常
1010,33,65000,18000,36,700,7,0.38,5,1,大专,已婚,正常
1011,29,45000,13000,24,660,4,0.48,3,1,本科,未婚,正常
1012,55,150000,80000,60,800,25,0.15,10,0,研究生,已婚,正常
1013,24,29000,7000,12,560,1,0.78,1,6,高中,未婚,逾期
1014,42,98000,35000,48,760,14,0.22,7,0,本科,已婚,正常
1015,36,76000,22000,36,725,9,0.31,5,0,大专,已婚,正常
1016,27,40000,11000,24,630,2,0.58,2,2,高中,未婚,逾期
1017,48,110000,45000,60,770,18,0.20,8,0,研究生,已婚,正常
1018,32,62000,16000,36,695,6,0.40,4,0,本科,未婚,正常
1019,22,27000,6000,12,540,0,0.82,1,7,高中,未婚,逾期
1020,39,91000,32000,48,745,11,0.27,6,0,本科,已婚,正常
1021,34,70000,20000,36,715,8,0.33,5,0,大专,已婚,正常
1022,25,35000,9000,12,600,1,0.65,2,3,高中,未婚,逾期
1023,50,130000,60000,60,785,22,0.17,9,0,研究生,已婚,正常
1024,30,55000,14000,24,680,5,0.43,4,1,本科,未婚,正常
1025,44,102000,38000,48,755,16,0.23,7,0,本科,已婚,正常
1026,37,80000,26000,36,730,10,0.30,5,0,大专,已婚,正常
1027,21,25000,5000,12,520,0,0.88,1,8,高中,未婚,逾期
1028,46,115000,50000,60,775,17,0.19,8,0,研究生,已婚,正常
1029,28,48000,12000,24,665,3,0.50,3,1,本科,未婚,正常
1030,40,93000,33000,48,748,12,0.26,6,0,本科,已婚,正常
